HU number,Shipping Point,Material,Packed Quantity
LELMECB40059414807E,CND7,KRC161488/1,1
LELMECB40059414753E,CND7,KRC161488/1,1
LELMECB40059592864E,CND7,KRC161803/2,1
LELMECB40059625357E,CND7,NCD90165/1,40
LELMECB40059627016E,CND7,SEF901304/1,64
LELMECB40059627016E,CND7,SXK1252540/1,64
LELMECB40059627016E,CND7,RNT44737/01,64
LELMECB40059414715E,CND7,KRC161488/1,48
LELMECB40059414722E,CND7,KRC161488/1,1
LELMECB40059526920E,CND7,SEF901377/1,50
LELMECB40059526920E,CND7,SXK1255991/1,50
LELMECB40059526920E,CND7,SEF901376/0321,37
LELMECB40059527026E,CND7,SEF901376/0321,7
LELMECB40059415347E,CND7,KRC161509/1,35
LELMECB40059411271E,CND7,KRC161865/2,1
LELMECB40059384667E,CND7,SEF901377/2,23
LELMECB40059384667E,CND7,SEF901376/0214,23
LELMECB40059384667E,CND7,SXK1255991/1,23
LELMECB40059528566E,CND7,SEF901377/1,58
LELMECB40059528566E,CND7,SEF901376/0321,17
LELMECB40059528566E,CND7,SXK1255991/1,65
LELMECB40059586351E,CND7,KRC161803/2,16
LELMECB40059529181E,CND7,SEF901376/0321,40
LELMECB40059529181E,CND7,SXK1255991/1,65
LELMECB40059530934E,CND7,SEF901376/0321,73
LELMECB40059531009E,CND7,KRC161652/2,1
LELMECB40059535342E,CND7,KRC161954/11,6
LELMECB40059535533E,CND7,KRC161954/11,1
LELMECB40059535564E,CND7,KRC161954/11,1
LELMECB40059410458E,CND7,KRY901345/8,60
LELMECB40059410489E,CND7,KRY901345/8,45
LELMECB40059627061E,CND7,SEF901377/1,170
LELMECB40059627061E,CND7,SXK1255991/1,36
LELMECB40059628341E,CND7,SXK1255991/1,96
LELMECB40059629461E,CND7,SXK1255991/1,38
LELMECB40059591560E,CND7,KRC161803/2,1
LELMECB40059616133E,CND7,KRD901242/11R2A,3
LELMECB40059615860E,CND7,KRD901242/11R2A,3
LELMECB40059615877E,CND7,KRD901242/11R2A,3
LELMECB40059411240E,CND7,SEF901377/1,70
LELMECB40059411240E,CND7,SEF901376/0321,25
LELMECB40059411240E,CND7,SEF901376/0321,10
LELMECB40059411240E,CND7,SXK1255991/1,35
LELMECB40059411257E,CND7,SXK1252796/1,35
LELMECB40059619578E,CND7,KRD901242/11R2A,3
LELMECB40059627023E,CND7,RNT44737/01,104
LELMECB40059549295E,CND7,RDH10265/3,10
LELMECB40059549295E,CND7,RDH10265/25,10
LELMECB40059617857E,CND7,KRD901242/11R2A,3
LELMECB40059616416E,CND7,KRD901242/11R2A,3
LELMECB40059619035E,CND7,KRD901242/11R2A,3
LELMECB40059619523E,CND7,KRD901242/11R1C,3
LELMECB40059516082E,CND7,RDH10270/1,4
LELMECB40059619547E,CND7,KRD901242/11R1B,1
LELMECB40059617895E,CND7,KRD901242/11R2A,3
LELMECB40059617901E,CND7,KRD901242/11R2A,3
LELMECB40059607209E,CND7,RPM2530292/10M,11
LELMECB40059552141E,CND7,RDH10265/3,1
LELMECB40059552141E,CND7,RDH10265/25,1
LELMECB40059552141E,CND7,RNT44737/01,1
LELMECB40059552141E,CND7,SEF901376/0535,1
LELMECB40059552141E,CND7,RPM2531610/10M,1
LELMECB40059552141E,CND7,SEF901377/1,1
