HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40059583190E,CND7,131,RPM1192060/5,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059583190E,CND7,131,SEF901377/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059590341E,CND7,24,KRY901474/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059590389E,CND7,24,KRY901474/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059591430E,CND7,131,RPM777045/03000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059591430E,CND7,11,KRY901474/2,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059581028E,CND7,1,KRC161865/2,EAB-PACK,1.2,0.8,1.02,0.979
LELMECB40059542388E,CND7,1,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059542388E,CND7,1,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059542388E,CND7,1,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059542388E,CND7,1,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059542388E,CND7,1,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059542388E,CND7,1,SEF901377/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059573450E,CND7,1,KRC161865/2,EAB-PACK,0.6,0.44,0.255,0.067
LELMECB40059573207E,CND7,1,KRC161865/2,EAB-PACK,0.6,0.44,0.255,0.067
LELMECB40059573412E,CND7,1,KRC161865/2,EAB-PACK,0.6,0.44,0.255,0.067
LELMECB40059609494E,CND7,77,RPM777527/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059609494E,CND7,60,RPM777527/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059610445E,CND7,411,RDH10265/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059610445E,CND7,137,RPM777527/05000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40059598538E,CND7,2,RPM2530292/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40059500838E,CND7,4,RPM777382/05000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40059552974E,CND7,3,RDH10248/2,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552974E,CND7,3,RPM2531619/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552974E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552974E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552974E,CND7,3,SEF901377/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552974E,CND7,3,RDH10248/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059552820E,CND7,6,RDH10265/3,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059552820E,CND7,6,RDH10265/25,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059552820E,CND7,6,RNT44737/01,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059552820E,CND7,6,SEF901376/0535,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059552820E,CND7,6,RPM2531610/10M,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059552820E,CND7,6,SEF901377/1,RTK21716/451,0.6,0.8,0.46,0.221
LELMECB40059550550E,CND7,3,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059550550E,CND7,3,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059550550E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40059550550E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
